Typical Measured Spectrum of Semrock LPD02-785RU Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
1023.8	0.98118
1024.0	0.98204
1024.2	0.98214
1024.4	0.98035
1024.6	0.9829
1024.8	0.98529
1025.0	0.98486
1025.2	0.98398
1025.4	0.98369
1025.6	0.98244
1025.8	0.98266
1026.0	0.98263
1026.2	0.98259
1026.4	0.98258
1026.6	0.98295
1026.8	0.98397
1027.0	0.98271
1027.2	0.98369
1027.4	0.98186
1027.6	0.98117
1027.8	0.98032
1028.0	0.97992
1028.2	0.97698
1028.4	0.97534
1028.6	0.97588
1028.8	0.97781
1029.0	0.97813
1029.2	0.97932
1029.4	0.98043
1029.6	0.98245
1029.8	0.98417
1030.0	0.9854
1030.2	0.98436
1030.4	0.98472
1030.6	0.98362
1030.8	0.98425
1031.0	0.98397
1031.2	0.98349
1031.4	0.98122
1031.6	0.98086
1031.8	0.98023
1032.0	0.98
1032.2	0.979
1032.4	0.9777
1032.6	0.97628
1032.8	0.97793
1033.0	0.97989
1033.2	0.98112
1033.4	0.98086
1033.6	0.98023
1033.8	0.98122
1034.0	0.98086
1034.2	0.98364
1034.4	0.98305
1034.6	0.98354
1034.8	0.98368
1035.0	0.98515
1035.2	0.98365
1035.4	0.98056
1035.6	0.98017
1035.8	0.98
1036.0	0.98213
1036.2	0.98131
1036.4	0.98023
1036.6	0.98152
1036.8	0.98135
1037.0	0.98227
1037.2	0.98375
1037.4	0.98322
1037.6	0.98212
1037.8	0.98153
1038.0	0.98225
1038.2	0.98369
1038.4	0.98567
1038.6	0.98481
1038.8	0.98571
1039.0	0.98774
1039.2	0.98771
1039.4	0.98739
1039.6	0.98701
1039.8	0.98757
1040.0	0.9885
1040.2	0.98798
1040.4	0.98802
1040.6	0.9863
1040.8	0.98451
1041.0	0.98245
